G_A G_B K_A K_B TH_B_A TH_A_B N_B_A N_A_B FC_B_A FC_A_B
1 58.8122580268 28.980125622 0.468208786349 0.635894569604 29.9387167978 26.6676849895 4 5 78.0742616586 56.1941765312
2 11.2496595342 40.2571851106 0.775060389272 0.839322438255 26.10710726 40.4392244976 1 3 26.157540148 63.4138179444
3 44.7272256055 27.9796666385 0.188276625263 0.590925735445 37.7170090968 9.04864752446 4 3 11.8837806408 35.6535557469
4 71.6009481915 13.3667660088 0.510450601351 0.995527559923 35.1832638028 50.6737038593 3 3 83.1028030321 93.8780097712
5 52.3082548355 36.7375313115 0.986160444397 0.649079989096 14.5174671819 34.866129785 1 2 75.6262411697 56.6498003565
6 8.88987357166 35.200371358 0.404139781904 0.153696716508 14.8508144324 50.0707416852 5 5 48.2000206875 82.0179102694
7 4.32190362974 36.9301883499 0.179393906183 0.719548023925 18.3732129727 50.7585740983 3 2 93.4240836048 14.6326689794
8 66.5947861966 61.2652216142 0.741131393229 0.418737972913 39.7355513478 23.0762892259 5 5 91.026523259 94.2535794151
9 60.2340477359 55.1825228423 0.15586532576 0.702960789725 41.6472530382 44.7245584169 3 5 92.50375482 23.133138901
10 92.0454743569 3.93911620661 0.429343478606 0.552271881366 32.751074677 40.4081193087 5 3 10.1781706774 73.6777173835
11 58.2853566974 72.612359131 0.110234161328 0.504278610409 23.4405480483 5.54448926511 2 1 96.8162395274 35.7943405895
12 25.1666297015 99.347573804 0.672483324031 0.728112535849 15.0988326004 48.4682884557 2 4 98.1465281027 94.7022729516
13 76.8835180392 14.9821615131 0.141444794912 0.223044501599 36.0696047647 39.5858125669 4 2 79.2006546983 17.8138786315
14 49.4834743049 58.2469390736 0.407869374006 0.475863128389 6.94298321243 31.8925097367 4 1 79.747799797 28.4157144702
15 15.6861199569 5.3153505769 0.738717585222 0.792345181413 38.0105304131 38.5926275136 3 5 7.52427962006 25.6045851384
16 91.6731443855 37.9253505829 0.982021759534 0.21962928017 2.03621508466 27.2406732215 3 2 7.95118154489 34.5325171135
17 80.1528983259 19.2997754877 0.724823052042 0.246920349824 1.70918410984 28.0527588749 5 2 94.4519405887 44.1982074994
