"A" "B"
21.8393191327 1.77638698788
2.52966280068 4.91522231332
66.9679376863 21.4336265047
2.67717084655 4.68496118241
51.7634432778 1.5996639965
43.4882635153 37.4982467962
4.68963539128 22.1452495241
148.200120326 0.180812065058
6.25413614939 30.4523333249
10.0506148414 121.088148445
62.276633148 33.5366634151
47.3450222841 24.2824275561
3.35890072997 33.5527526472
12.7336238475 2.51151996848
43.5972095477 5.17346889624
32.8350480892 125.551652333
43.8959196608 20.6962549156
1.75947121998 40.7219189949
117.699242192 65.331932551
74.5021319919 29.1283562574
5.65283651108 23.837807403
4.10842073077 5.15137011037
17.1708555595 28.0520950142
11.3871361217 3.93097568857
12.401077236 4.32230485634
25.9581305158 8.06050647618
21.9558245817 2.43036152873
25.2552543171 7.36697982856
38.3199773565 214.752695768
0.299829879776 4.18995700836
28.0948128417 1.71589047683
22.9346995108 11.131447343
17.6833901382 3.09375980191
25.4582020244 50.7636641716
0.666994328285 0.0729888470331
7.53494509485 17.1259366403
1.51863721152 124.586130655
11.2917316273 11.2257884231
3.69501396755 0.769792842341
16.3721249164 54.5093573076
0.569805834946 0.516663159712
213.725566328 13.6777175698
25.3381249128 3.00725500691
108.382312439 16.326039288
2.50810926425 32.7079238278
361.813898907 15.1921988014
15.0736435553 3.19447499795
24.7626107633 5.5041592582
120.868500069 25.9796650629
9.44050429053 4.71788103811
