"A" "B"
34.1363032376 3.89231707701
5.30298470178 4.19248669318
27.8375896388 1.51317348056
5.48969866482 0.913342345566
36.859470845 29.4929902804
0.717821744005 4.8166894758
7.52473381943 5.89575820014
1.46323829186 4.20684429715
5.63655748339 6.00044686315
26.7308919655 0.114370815847
23.1505650037 4.45772155014
0.786743084358 9.76596194883
454.140482532 39.2601027508
7.27635971456 41.207693866
4.60015498568 0.513432866164
30.9631509841 20.914573372
22.8768924634 21.648989237
3.97982198571 152.656950865
127.466936569 4.66641182427
34.4988125135 1.17467067354
2.51934249086 39.2728972479
51.0147122004 0.726613813868
13.2757200661 2.60048381882
37.9097239491 3.02252540101
51.9309747572 57.3349311254
2.97036886765 16.5653884287
9.4947559162 0.192970239866
2.91942544051 85.8962118152
2.66284560551 100.47171995
9.98133950656 1.4707998485
59.8333585212 0.761694593181
1.22480381548 5.4506027944
65.4522290963 118.066572045
14.2880161335 114.120227279
58.1563664205 115.210634037
6.57823222202 23.958089663
7.23853390095 51.3706441725
6.62434492101 7.5609391679
2.96838717275 18.6765644677
8.16971219933 68.7345851039
68.511183743 24.0128242664
35.7113483674 124.35495143
3.36707807308 5.85425148559
314.43616845 11.820717787
0.679606754298 1.10758195141
3.32436066495 0.93059035767
31.9726431099 152.720286025
35.3928097476 3.57328260194
99.6770369998 32.5255438898
13.1921068244 95.0953683706
