"A" "B"
0.258589809294 28.1663387825
79.0366785724 45.627224358
22.3120388797 168.604981981
14.5176985128 0.397546060973
4.03188950824 19.6609189434
26.6083882665 58.3392728917
6.6642689923 23.1679197781
31.9151634109 42.9114662167
25.526458541 3.28126036937
27.3174622484 10.7617090224
170.009175008 17.5834451821
0.734091210034 37.739035177
2.46749217197 32.23176629
0.999998802769 27.9946685705
7.73154614211 11.3395982483
319.021282276 2.05129146969
10.2505408922 18.2435086123
12.1769230982 17.699852154
7.48871498532 31.9677075104
6.54523445591 13.5099390802
3.07421393522 26.9148979545
37.7673671497 109.614144763
12.2133983793 165.102425715
21.5185173179 16.4667179092
130.533938662 5.00487486216
0.149670541048 19.8623124462
1.49070977789 6.42546729424
133.407168476 6.0459559504
51.7282113783 3.2601751515
15.7650094793 2.38193230415
5.54045144317 70.6765051035
72.2073310379 197.798096666
29.2903189809 40.5569428245
540.987248136 67.310823139
3.68051039568 43.9965048945
1.92423233589 40.6379339361
14.4303446352 76.6144356747
0.143816890738 3.31440106
15.7747614141 3.35258023447
42.9266204583 0.931607508226
101.481529003 33.5155067829
60.2224273004 164.732376914
13.0026256072 36.4047902713
15.5297476212 0.828962258816
21.3256960851 8.64514519374
0.276211710137 22.3418367768
85.4570838265 9.61795847578
24.5962782954 24.6958129282
0.648973782932 65.7890082193
179.267108175 7.16346846141
