group group_name X1 X2 X3 X4 X5 X6 X7 X8 X9 X10 X11 X12 X13 X14 X15 X16 X17 X18 X19 X20 X21 X22 X23 X24 X25 X26 X27 X28 X29 X30 X31 X32 X33 X34 X35 X36 X37 X38 X39 X40 X41 X42 X43 X44 X45 X46 X47 X48 X49 X50
A 1 deterministic -1.53313876269677 1.15578379213689 -0.577515024440486 0.642345748619486 0.571937713475706 1.22025798570929 0.677519974977721 0.831995085300521 0.589649918631838 1.05289208327134 0.0605603585568963 -1.45300973338449 -0.823667261146171 -0.0525373932017509 0.6021297503356 1.41766280240009 -1.20173693923797 -1.06622919166588 -0.903996465900517 0.389619793902205 -1.04260129496742 -0.124446593088342 -0.83007812632506 0.288037077307366 1.28984749852649 -1.60941707494933 -1.13690126725873 0.754601950212784 0.651589948438004 1.38871700531176 -0.0326996173743317 1.20232067689926 -0.808582074303186 1.51428174663925 -0.893984925043213 -0.262833295297218 -0.541413960049151 -1.59402594234979 0.0763185132959595 -1.06989415946747 -0.71414984409928 0.354757452704495 0.893523992139177 0.581364290239098 1.45393532073057 -1.56359729604265 1.46886026698293 0.729001396464972 -1.63169009629405 -0.391365804626439
B 1 deterministic 0.89056453971792 -1.11189547552122 1.29742656890297 -0.425766766550665 -1.14672632592678 -0.290143013542801 -1.19265017180473 -0.0864402759533682 -0.443942848167961 -1.53684257710394 0.380633441794042 1.70171826681367 0.620269243355277 0.395937672757473 -1.00453605004227 -0.61603162207996 0.546096118782625 0.535405916260037 1.39822035609345 -0.969497754594453 0.805715445270741 1.42198106059933 1.61564790608294 -0.215404067244037 -1.22635276819375 1.53738771430555 -0.086947568193208 -1.37852878541404 -0.731595140681516 -1.67057537484042 -1.02109702422885 -0.358326432868672 0.875904993592378 -1.05655223139172 0.837037818298494 0.899701032983138 0.809995434978916 1.12136612960394 -0.234413951464012 0.608257005908425 0.911501385609632 0.343979248997355 -0.742605886387529 -0.762912610981111 -1.36850510746478 1.20333179326458 -1.20434799996569 -1.16292167118478 1.3144518976651 -0.0269714898457089
A.1 2 35.3553390593274 -0.218688690069899 0.616770732635934 -1.65068365310566 0.606936273614574 0.0191709940756921 1.06748728538737 0.0524401243029633 -0.507083186476609 0.478579787545649 0.949113770123548 0.493582841867834 0.256744856178067 -0.540666142697164 0.0669168143864868 0.385354359075965 1.29430862292644 -0.627704251789398 0.440535261779222 0.25134636462112 0.466097821648041 -0.254946543352016 -0.18193297712431 -0.0816968935614741 -0.385252411821933 0.447024072101012 0.223869206746118 0.24164557704706 -0.41259069991033 0.492410853530351 1.11288035526499 0.264275419685666 1.17502430555926 0.0705446017112362 1.38554833804584 0.189066484627578 -0.380305116139852 0.397528004004978 -0.381186930329327 0.153337055848291 -0.430658095923733 -0.894141063762621 0.147936164540597 0.819405703271571 0.230709820630039 1.35998008474479 -1.12909446194863 1.50787496511401 0.125792876690705 0.0866593890819959 0.493766209485866
B.1 2 35.3553390593274 0.518504053305882 0.736678528603816 0.942253606749869 -0.727932479853097 0.68116499052194 -0.0254221162491257 0.117334405496049 0.352159487966276 -0.352824974720984 -0.224237914755909 -0.845208968626773 1.08407047347679 0.51976531173035 0.437297889083829 -0.562052107845664 -0.338370889916873 0.792764305363884 0.557554643447222 1.05416464792976 -1.7749036050791 0.762385529688749 1.31574778621586 1.45179062043148 0.43846931953705 0.0762824815289219 0.994022760966734 -1.31081833387667 0.631451059400196 0.462646430434631 0.619304339351615 -0.123945998723741 0.0104612547783322 0.999669473950487 -0.476573575366094 0.725985214371848 0.821637213767904 0.699404354419937 0.84616814591024 -0.0386738318248612 0.437623558023665 1.24452825528186 1.09549646065179 0.12909292610701 0.46230626890412 0.264731876364823 0.798835424188065 0.573250122501298 0.319826130719317 1.17060290629063 -0.0362938475316984
A.2 3 17.6776695296637 -0.11491660242348 1.25890202587564 -1.05726267652521 0.645047996213672 0.71092875723976 0.287138551408657 0.57534604623642 0.809453118728194 0.602572108000693 1.05175431733125 -0.436860872605921 -0.459640109912634 -0.43089260252844 0.123789823857709 0.563403558091271 1.38206746547474 -0.638294270877407 -1.65068365310566 -0.186752782588251 0.545758631527286 -0.0508615497550105 -0.161068143594774 -0.404743997542158 -0.608714032735016 1.15950970903814 -0.0724132319727227 -0.190544583809192 0.719265633875653 0.577026494946387 1.24916492162522 0.0395246297423737 1.11657866111964 -0.21009689141429 1.15117460351146 -0.20753280357302 0.356820806649283 -0.513330297343137 -0.20641936357025 0.0499427691804715 0.0710665185602057 -0.294715649376249 0.423817000230307 0.996876868037517 0.591901650867016 1.42643046604967 -1.55552602428726 1.46590894787608 0.65355558779883 -0.949151964046808 -1.65068365310566
B.2 3 17.6776695296637 0.779891285138807 -0.166551380627186 1.15263160674908 -1.62644177875555 -0.381921329982819 0.210024752842619 -0.317325174348725 -0.218133351664134 -0.113231996919658 0.048375023751368 0.609032477217849 1.56087058420109 0.264637839825825 0.433174457420274 -0.159664840431872 -0.54026782656399 0.131964350400653 0.286106999282128 1.24585786911946 -0.723440107602181 0.749784132695807 1.27217203070986 1.53955526948473 0.670962228846761 -0.858689723847159 1.28478024852098 -0.0558617813857135 -0.984274532435751 -0.434789241651434 0.318243441330803 -0.133018521614262 -0.29086192707001 0.941577569928915 -0.121260977557235 -1.7749036050791 0.698455605868918 0.82365128722022 0.810350392873698 -0.619955536798929 0.577013208086816 0.702747719459629 0.597805129303064 -1.7749036050791 -0.132617333950923 -0.726408409921884 1.20072938584555 -1.06707301094129 -0.192604572095887 1.11209047880111 0.687601754301071
A.3 4 8.83883476483184 -1.34890799607496 1.13639919532717 -0.424335009788691 0.601206550532155 0.481083756376891 1.21130368249047 0.51863672492368 0.798742447228001 0.610717251053986 1.09218453951394 0.0567286678199613 -1.27260240442933 -0.504849056772417 0.121018773574243 0.643935047843528 1.41897472201315 -0.460309280224815 -0.631749982396926 -0.260748184698304 0.335881114927014 -0.531231006290003 -0.377127855635362 -0.71891375787872 0.350691164609817 1.27692676605959 -1.05982584705343 -1.24629871013247 0.727777245122488 0.681343566407167 1.35399600409954 -0.259106841272773 1.14534517501066 -1.21620275923823 1.45194710042892 -1.65068365310566 -0.341232648919865 0.342516805503899 -0.786067148278277 0.1783727287378 -0.929688076956535 -1.26294992145196 0.17961695917479 0.944345019312073 0.606352213919839 1.45211124376172 -0.991539446711662 1.47820136714094 0.684655461932868 -1.40981298692264 0.213860009066334
B.3 4 8.83883476483184 0.826111809413577 0.0762929801841531 1.24491147237825 -0.520742140403624 -1.03600603314131 -0.0868988861175129 -0.932332564138497 -0.17193072353864 -0.854583602821037 -1.04919829926032 0.451223870521453 1.62919299260762 0.684601504993491 0.321324696584518 -0.704290495402601 -0.376139717597412 0.506598611790757 0.392044485872192 1.3439661720647 -1.7749036050791 0.814163937965856 1.44366190555402 1.59340412118845 -0.864550700196319 -1.05464571629576 1.33157003913552 -0.188653266971506 -1.0078745090122 -0.390155768013091 -1.17297672001265 -0.877169727503055 -0.669326638144256 0.890176723681771 -1.46254513110509 0.755140291579885 0.902956103955506 0.252754271209697 0.960623753448378 -0.00785452908557439 0.700334490955451 0.882587464186731 0.769359099018582 -0.197437888765951 -0.608117693401152 -0.343411599948239 1.21313043902054 -0.969562060931572 -0.835229446151706 1.23836238134232 -0.4551559154364
A.4 5 4.41941738241592 -1.65068365310566 1.16372246959189 -0.396784939049014 0.617497239659825 0.544836667658535 1.24095989102878 0.676170373197995 0.809986166012878 0.593994607154556 1.05243858449053 0.0425636512296859 -1.04968606769607 -1.38235098156706 -0.185521345915205 0.615823360494454 1.4181218024972 -0.756950820015991 -0.913516323833559 -0.759408072871842 0.361318918738551 -0.878271271422895 -0.0850145979933971 -0.544489774789309 0.275073709469324 1.27757255984259 -1.65068365310566 -0.938090578519731 0.716501320583287 0.669148338387605 1.35250680289427 -0.077316108779878 1.25185730141549 -0.943377835022399 1.50881387059725 -1.02256292763436 -0.124791088614557 0.350694470279891 -0.570478604208267 0.0404382706902598 -0.872353909059168 -0.97865318965579 0.350031338694872 0.878361529786685 0.599940766649457 1.45602104054151 -0.856320081953722 1.47758801727001 0.725000231567444 -1.223990084961 -0.824198434951191
B.4 5 4.41941738241592 0.848333433444465 -1.7749036050791 1.25354380299185 -0.685519309450742 -0.985132610303894 -1.29623263886921 -0.626033689559044 -0.095827870651374 -0.835542871476859 -0.860017382299352 0.348058848108962 1.71065177879572 0.669741975853119 0.446761209803328 -1.08502657179825 -1.17235608826546 0.563661445846805 0.530080750141642 1.42231531862203 -1.19427043117527 0.82304045726601 1.41624874656605 1.60801404708706 -0.307637004989361 -0.726476848474828 1.40353845538657 -0.0175435703962063 -0.406531009441207 -1.54733565548963 -1.18960662330296 -0.463973932450925 -0.427107746337941 0.836069767904813 -0.866871590640395 0.793737180088527 0.85711649118234 0.13762365862706 1.02390252781773 -0.302765289553701 0.598948651841215 0.899284541715477 0.460070745728741 -0.3781197058227 -0.695141592201759 -1.04940439372636 1.24960799970382 -0.729005107027267 -1.31270616950967 1.22181222574391 0.683410014578666
